,County,Number of Tests
1,Aitkin,19204
2,Anoka,545958
3,Becker,59238
4,Beltrami,60345
5,Benton,77865
6,Big Stone,13220
7,Blue Earth,136895
8,Brown,55709
9,Carlton,79882
10,Carver,154305
11,Cass,31760
12,Chippewa,27089
13,Chisago,90811
14,Clay,108867
15,Clearwater,9427
16,Cook,8966
17,Cottonwood,21088
18,Crow Wing,85522
19,Dakota,715290
20,Dodge,37729
21,Douglas,68086
22,Faribault,31294
23,Fillmore,40081
24,Freeborn,63008
25,Goodhue,87119
26,Grant,10310
27,Hennepin,2292159
28,Houston,21417
29,Hubbard,20764
30,Isanti,56067
31,Itasca,80265
32,Jackson,14075
33,Kanabec,16504
34,Kandiyohi,85305
35,Kittson,9969
36,Koochiching,21647
37,Lac qui Parle,13601
38,Lake,19664
39,Lake of the Woods,5957
40,Le Sueur,43972
41,Lincoln,10696
42,Lyon,46116
43,Mahnomen,6643
44,Marshall,10279
1,Martin,39876
2,McLeod,61300
3,Meeker,37736
4,Mille Lacs,44688
5,Morrison,59179
6,Mower,79446
7,Murray,15175
8,Nicollet,66163
9,Nobles,30979
10,Norman,11471
11,Olmsted,277493
12,Otter Tail,110163
13,Pennington,15424
14,Pine,35859
15,Pipestone,19655
16,Polk,42729
17,Pope,20459
18,Ramsey,987792
19,Red Lake,4078
20,Redwood,27476
21,Renville,30498
22,Rice,177409
23,Rock,19147
24,Roseau,23169
25,Scott,230375
26,Sherburne,184952
27,Sibley,24133
28,St. Louis,383063
29,Stearns,285098
30,Steele,64840
31,Stevens,20325
32,Swift,18288
33,Todd,33013
34,Traverse,7041
35,Wabasha,46421
36,Wadena,33447
37,Waseca,34795
38,Washington,460537
39,Watonwan,20172
40,Wilkin,7973
41,Winona,106625
42,Wright,194085
43,Yellow Medicine,19972
44,Unknown/missing,423136
