,0,1,2,3,4
0,Members and,WHO scale,,,
1,Associate Members,for 2022–2023,,,
2,,%,,,
3,Afghanistan,0.0070,,,
4,Albania,0.0080,,,
5,Algeria,0.1380,,,
6,Andorra,0.0050,,,
7,Angola,0.0100,,,
8,Antigua and Barbuda,0.0020,,,
9,Argentina,0.9151,,,
10,Armenia,0.0070,,,
11,Australia,2.2101,,,
12,Austria,0.6770,,,
13,Azerbaijan,0.0490,,,
14,Bahamas,0.0180,,,
15,Bahrain,0.0500,,,
16,Bangladesh,0.0100,,,
17,Barbados,0.0070,,,
18,Belarus,0.0490,,,
19,Belgium,0.8211,,,
20,Belize,0.0010,,,
21,Benin,0.0030,,,
22,Bhutan,0.0010,,,
23,Bolivia (Plurinational State of),0.0160,,,
24,Members and,WHO scale,,,
25,Associate Members,for 2022–2023,,,
26,,%,,,
27,Bosnia and Herzegovina,0.0120,,,
28,Botswana,0.0140,,,
29,Brazil,2.9482,,,
30,Brunei Darussalam,0.0250,,,
31,Bulgaria,0.0460,,,
32,Burkina Faso,0.0030,,,
33,Burundi,0.0010,,,
34,Cabo Verde,0.0010,,,
35,Cambodia,0.0060,,,
36,Cameroon,0.0130,,,
37,Canada,2.7342,,,
38,Central African Republic,0.0010,,,
39,Chad,0.0040,,,
40,Chile,0.4070,,,
41,China,12.0058,,,
42,Colombia,0.2880,,,
43,Comoros,0.0010,,,
44,Congo,0.0060,,,
45,Cook Islands (not a member of the,,,,
46,United Nations),0.0010,,,
47,Costa Rica,0.0620,,,
48,Côte d’Ivoire,0.0130,,,
49,Croatia,0.0770,,,
50,Cuba,0.0800,,,
51,Cyprus,0.0360,,,
52,Czech Republic,0.3110,,,
53,Democratic People’s Republic of,,,,
54,Korea,0.0060,,,
55,Democratic Republic of the Congo,0.0100,,,
56,Denmark,0.5540,,,
57,Djibouti,0.0010,,,
58,Dominica,0.0010,,,
59,Dominican Republic,0.0530,,,
60,Ecuador,0.0800,,,
61,Egypt,0.1860,,,
62,El Salvador,0.0120,,,
63,Equatorial Guinea,0.0160,,,
64,Eritrea,0.0010,,,
65,Estonia,0.0390,,,
66,Eswatini,0.0020,,,
67,Ethiopia,0.0100,,,
68,Fiji,0.0030,,,
69,Finland,0.4210,,,
70,France,4.4273,,,
71,Gabon,0.0150,,,
72,Members and,WHO scale,,,
73,Associate Members,for 2022–2023,,,
74,,%,,,
75,Gambia,0.0010,,,
76,Georgia,0.0080,,,
77,Germany,6.0904,,,
78,Ghana,0.0150,,,
79,Greece,0.3660,,,
80,Grenada,0.0010,,,
81,Guatemala,0.0360,,,
82,Guinea,0.0030,,,
83,Guinea-Bissau,0.0010,,,
84,Guyana,0.0020,,,
85,Haiti,0.0030,,,
86,Honduras,0.0090,,,
87,Hungary,0.2060,,,
88,Iceland,0.0280,,,
89,India,0.8341,,,
90,Indonesia,0.5430,,,
91,Iran (Islamic Republic of),0.3980,,,
92,Iraq,0.1290,,,
93,Ireland,0.3710,,,
94,Israel,0.4900,,,
95,Italy,3.3072,,,
96,Jamaica,0.0080,,,
97,Japan,8.5645,,,
98,Jordan,0.0210,,,
99,Kazakhstan,0.1780,,,
100,Kenya,0.0240,,,
101,Kiribati,0.0010,,,
102,Kuwait,0.2520,,,
103,Kyrgyzstan,0.0020,,,
104,Lao People’s Democratic Republic,0.0050,,,
105,Latvia,0.0470,,,
106,Lebanon,0.0470,,,
107,Lesotho,0.0010,,,
108,Liberia,0.0010,,,
109,Libya,0.0300,,,
110,Lithuania,0.0710,,,
111,Luxembourg,0.0670,,,
112,Madagascar,0.0040,,,
113,Malawi,0.0020,,,
114,Malaysia,0.3410,,,
115,Maldives,0.0040,,,
116,Mali,0.0040,,,
117,Malta,0.0170,,,
118,Marshall Islands,0.0010,,,
119,Members and,WHO scale,,,
120,Associate Members,for 2022–2023,,,
121,,%,,,
122,Mauritania,0.0020,,,
123,Mauritius,0.0110,,,
124,Mexico,1.2921,,,
125,Micronesia (Federated States of),0.0010,,,
126,Monaco,0.0110,,,
127,Mongolia,0.0050,,,
128,Montenegro,0.0040,,,
129,Morocco,0.0550,,,
130,Mozambique,0.0040,,,
131,Myanmar,0.0100,,,
132,Namibia,0.0090,,,
133,Nauru,0.0010,,,
134,Nepal,0.0070,,,
135,Netherlands,1.3561,,,
136,New Zealand,0.2910,,,
137,Nicaragua,0.0050,,,
138,Niger,0.0020,,,
139,Nigeria,0.2500,,,
140,Niue (not a member of the United,,,,
141,Nations),0.0010,,,
142,North Macedonia,0.0070,,,
143,Norway,0.7540,,,
144,Oman,0.1150,,,
145,Pakistan,0.1150,,,
146,Palau,0.0010,,,
147,Panama,0.0450,,,
148,Papua New Guinea,0.0100,,,
149,Paraguay,0.0160,,,
150,Peru,0.1520,,,
151,Philippines,0.2050,,,
152,Poland,0.8021,,,
153,Portugal,0.3500,,,
154,Puerto Rico (not a member of the,,,,
155,United Nations),0.0010,,,
156,Qatar,0.2820,,,
157,Republic of Korea,2.2671,,,
158,Republic of Moldova,0.0030,,,
159,Romania,0.1980,,,
160,Russian Federation,2.4052,,,
161,Rwanda,0.0030,,,
162,Saint Kitts and Nevis,0.0010,,,
163,Saint Lucia,0.0010,,,
164,Saint Vincent and the Grenadines,0.0010,,,
165,Samoa,0.0010,,,
166,San Marino,0.0020,,,
167,Members and,WHO scale,,,
168,Associate Members,for 2022–2023,,,
169,,%,,,
170,Sao Tome and Principe,0.0010,,,
171,Saudi Arabia,1.1721,,,
172,Senegal,0.0070,,,
173,Serbia,0.0280,,,
174,Seychelles,0.0020,,,
175,Sierra Leone,0.0010,,,
176,Singapore,0.4850,,,
177,Slovakia,0.1530,,,
178,Slovenia,0.0760,,,
179,Solomon Islands,0.0010,,,
180,Somalia,0.0010,,,
181,South Africa,0.2720,,,
182,South Sudan,0.0060,,,
183,Spain,2.1461,,,
184,Sri Lanka,0.0440,,,
185,Sudan,0.0100,,,
186,Suriname,0.0050,,,
187,Sweden,0.9061,,,
188,Switzerland,1.1511,,,
189,Syrian Arab Republic,0.0110,,,
190,Tajikistan,0.0040,,,
191,Thailand,0.3070,,,
192,Timor-Leste,0.0020,,,
193,Togo,0.0020,,,
194,Tokelau (not a member of the United,,,,
195,Nations),0.0010,,,
196,Tonga,0.0010,,,
197,Trinidad and Tobago,0.0400,,,
198,Tunisia,0.0250,,,
199,Turkey,1.3711,,,
200,Turkmenistan,0.0330,,,
201,Tuvalu,0.0010,,,
202,Uganda,0.0080,,,
203,Ukraine,0.0570,,,
204,United Arab Emirates,0.6160,,,
205,United Kingdom of Great Britain and,,,,
206,Northern Ireland,4.5673,,,
207,United Republic of Tanzania,0.0100,,,
208,United States of America,22.0000,,,
209,Uruguay,0.0870,,,
210,Uzbekistan,0.0320,,,
211,Vanuatu,0.0010,,,
212,Venezuela (Bolivarian Republic of),0.7280,,,
213,Viet Nam,0.0770,,,
214,Yemen,0.0100,,,
215,WHA74.13,,,,
216,,Members and,,WHO scale,
217,,Associate Members,,for 2022–2023,
218,,,,%,
219,,Zambia,,0.0090,
220,,Zimbabwe,,0.0050,
221,,TOTAL,,100.000,
222,,,,,"Seventh plenary meeting, 31 May 2021"
223,,,,,A74/VR/7
224,6,,=     =     =,,
